DPA_PARROQ,DPA_DESPAR,altura_mean,pendiente_mean,distancia_rios,precipitaciones_mean,DPA_DESPRO,DPA_DESCAN,riesgo_inundacion,Densidad Poblacional,rango_altitudinal,riesgo_inundacion_cod,riesgo_predicho,probabilidad_riesgo_alto
010853,SHAGLLI,3331.10573382966,89.9930953867031,1744.84714195613,79.4571467570342,AZUAY,SANTA ISABEL,Nulo,7.0,2375,3,Bajo,0.01
010854,SAN SALVADOR DE CANARIBAMBA,2507.58718304646,89.9947627273551,917.630636553481,71.2625006233774,AZUAY,SANTA ISABEL,Nulo,16.0,2358,3,Bajo,0.04
010950,SIGSIG,3045.5195831055,89.9935072915131,533.377458722432,73.2964597970001,AZUAY,SIGSIG,Bajo,74.0,1784,1,Nulo,0.01
010951,CUCHIL,3056.23266987476,89.9908495440509,283.348957891213,78.6400141525269,AZUAY,SIGSIG,Nulo,13.0,1468,3,Bajo,0.01
010952,JIMA,3084.77958347447,89.9878546896354,149.654730179458,74.9285226066907,AZUAY,SIGSIG,Nulo,12.0,1054,3,Nulo,0.0
010953,GUEL,2889.73314121037,89.9981155646156,329.563072635339,68.8786474374624,AZUAY,SIGSIG,Bajo,64.0,1388,1,Nulo,0.01
010954,LUDO,2799.86128761539,89.9933494262366,616.583723898357,75.9143823652125,AZUAY,SIGSIG,Nulo,43.0,898,3,Nulo,0.01
010955,SAN BARTOLOME,2789.95772934081,89.9954267743403,237.25479597478,73.7785452480974,AZUAY,SIGSIG,Nulo,94.0,1040,3,Nulo,0.01
010956,SAN JOSE DE RARANGA,2812.41130685952,89.9891750932967,1100.43082571934,73.5357681723202,AZUAY,SIGSIG,Nulo,48.0,833,3,Nulo,0.01
011050,SAN FELIPE DE ONA,2841.2235453999,89.9776583866465,759.386520000136,68.2444039882894,AZUAY,ONA,Bajo,11.0,1783,1,Bajo,0.01
011051,SUSUDEL,2281.46326450086,89.9979333623936,2738.73357170094,47.7898461293366,AZUAY,ONA,Nulo,13.0,2043,3,Nulo,0.04
011150,CHORDELEG,2466.00790008713,89.9760489621967,715.352302471954,71.9277525681716,AZUAY,CHORDELEG,Medio,423.0,723,2,Medio,0.1
011151,PRINCIPAL,3216.36272235112,89.9927364460885,116.66419911987,78.9503361384074,AZUAY,CHORDELEG,Nulo,38.0,1504,3,Bajo,0.01
011152,LA UNION,2761.98642911824,89.9973387940209,746.579325216467,73.2388139204545,AZUAY,CHORDELEG,Nulo,137.0,1020,3,Nulo,0.02
011153,LUIS GALARZA ORELLANA,3245.72881735569,89.9569734277729,271.98413082038,79.6830447387695,AZUAY,CHORDELEG,Nulo,42.0,1537,3,Bajo,0.01
011154,SAN MARTIN DE PUZHIO,2915.3884185574,89.9976141878277,177.875260238687,77.3172066428445,AZUAY,CHORDELEG,Bajo,73.0,1166,1,Nulo,0.01
011250,EL PAN,2601.80297019086,89.9935118953174,1301.4204330461,88.7939611162458,AZUAY,EL PAN,Nulo,61.0,1265,3,Nulo,0.02
011253,SAN VICENTE,3077.90315754954,89.9969187339074,33.491091643563,91.6842295074463,AZUAY,EL PAN,Nulo,14.0,1589,3,Bajo,0.01
011350,SEVILLA DE ORO,2949.78480369381,89.9958925952838,24.0255524006822,98.9284313343189,AZUAY,SEVILLA DE ORO,Nulo,31.0,1609,3,Bajo,0.01
011351,AMALUZA,2478.27840966121,89.960277605517,25.0566856468958,141.915047833709,AZUAY,SEVILLA DE ORO,Nulo,5.0,3048,3,Bajo,0.06
011352,PALMAS,2878.30536376682,89.9972346000144,144.300651774842,109.443717401678,AZUAY,SEVILLA DE ORO,Bajo,24.0,1770,1,Bajo,0.01
011450,GUACHAPALA,2593.51814879906,89.9958888653139,706.319652376009,86.9002456665039,AZUAY,GUACHAPALA,Bajo,89.0,1294,1,Nulo,0.02
011550,CAMILO PONCE ENRIQUEZ,722.388327716691,89.9561009504156,1200.92621581719,89.5790421840123,AZUAY,CAMILO PONCE ENRIQUEZ,Alto,107.0,2491,0,Alto,0.6
020150,GUARANDA,3031.25764846862,89.9895940396493,302.654411859524,107.333303106837,BOLIVAR,GUARANDA,Nulo,123.0,4176,3,Bajo,0.09
020151,FACUNDO VELA,1705.93269548802,89.9970936438888,2445.00957988622,156.68665095738,BOLIVAR,GUARANDA,Nulo,16.0,2261,3,Bajo,0.13
020153,JULIO E. MORENO,2251.66964295896,89.9975018260887,804.522204135635,143.867460026461,BOLIVAR,GUARANDA,Nulo,30.0,2502,3,Bajo,0.07
020155,SALINAS,2364.0314258797,89.9952091177898,159.954617264269,122.85130206203,BOLIVAR,GUARANDA,Nulo,13.0,4137,3,Bajo,0.15
020156,SAN LORENZO,3468.77973755347,89.9955173915295,846.883694683672,85.6113929225974,BOLIVAR,GUARANDA,Nulo,19.0,1993,3,Bajo,0.0
020157,SAN SIMON,3347.52512881445,89.9970014268137,1895.40215483091,77.5376734220065,BOLIVAR,GUARANDA,Nulo,52.0,1916,3,Nulo,0.01
020158,SANTA FE,2881.25887211725,89.9977221727537,3011.18224153357,85.4322762262254,BOLIVAR,GUARANDA,Nulo,73.0,1070,3,Nulo,0.01
020159,SIMIATUG,3214.40602064973,89.9968560821742,256.529906432185,114.607379818751,BOLIVAR,GUARANDA,Nulo,32.0,3229,3,Bajo,0.02
020160,SAN LUIS DE PAMBIL,662.169721014859,89.9688049318334,363.875317928598,159.558588834417,BOLIVAR,GUARANDA,Medio,42.0,1593,2,Alto,0.42
020250,CHILLANES,1832.7399835194,89.9962978342411,1736.94335457766,96.5790282182915,BOLIVAR,CHILLANES,Medio,33.0,2823,2,Medio,0.16
